['0.943396226415094', '0.813008130081301', '1.05263157894737', '1.05263157894737', '0.78125', '2.5', '5']
['0.840336134453782', '1.0752688172043', '0.900900900900901', '0.854700854700855', '0.78125', '5.88235294117647', '4.54545454545455']
['0.666666666666667', '1.12359550561798', '1.13636363636364', '0.900900900900901', '0.564971751412429', '5.55555555555556', '6.25']
['1.14942528735632', '1.06382978723404', '1.25', '0.8', '0.719424460431655', '0.32051282051282', '0.181159420289855']
['0.826446280991736', '0.900900900900901', '1.12359550561798', '0.78125', '0.709219858156028', '2.17391304347826', '9.09090909090909']
['0.934579439252336', '0.909090909090909', '0.925925925925926', '0.925925925925926', '1.5625', '4.54545454545455', '2.32558139534884']
['1.08695652173913', '1.12359550561798', '1.44927536231884', '1.06382978723404', '0.900900900900901', '1.44927536231884', '12.5']
['0.952380952380952', '1.11111111111111', '1.69491525423729', '2.04081632653061', '1.2987012987013', '9.09090909090909', '5.88235294117647']
['1.14942528735632', '1.03092783505155', '1.33333333333333', '0.909090909090909', '0.78125', '0.460829493087558', '0.222222222222222']
['1.2987012987013', '1.03092783505155', '1.66666666666667', '1.85185185185185', '1.69491525423729', '11.1111111111111', '7.14285714285714']
['1.11111111111111', '1.12359550561798', '1.16279069767442', '1.0752688172043', '0.91743119266055', '0.434782608695652', '0.218818380743982']
['1.28205128205128', '1.0989010989011', '1.38888888888889', '1.03092783505155', '0.99009900990099', '0.387596899224806', '0.17825311942959']
['0.99009900990099', '1.13636363636364', '2.22222222222222', '2.85714285714286', '3.03030303030303', '11.1111111111111', '10']
['0.8', '0.793650793650794', '0.900900900900901', '0.840336134453782', '1.21951219512195', '3.84615384615385', '2.17391304347826']
['1.08695652173913', '1.13636363636364', '1.17647058823529', '1.03092783505155', '0.961538461538461', '0.934579439252336', '0.249376558603491']
['0.900900900900901', '1.2987012987013', '1.53846153846154', '3.03030303030303', '4.76190476190476', '12.5', '11.1111111111111']
['0.574712643678161', '0.719424460431655', '1.13636363636364', '0.833333333333333', '1.02040816326531', '2.08333333333333', '4.76190476190476']
['0.625', '0.775193798449612', '0.909090909090909', '0.826446280991736', '0.884955752212389', '5.55555555555556', '1.96078431372549']
['0.757575757575758', '0.892857142857143', '1.0989010989011', '1.17647058823529', '1.25', '5', '4.34782608695652']
['1.20481927710843', '1.20481927710843', '1.69491525423729', '1', '0.970873786407767', '0.389105058365759', '0.221729490022173']
['1.04166666666667', '0.925925925925926', '1.02040816326531', '1.25', '1.53846153846154', '5.26315789473684', '3.7037037037037']
['1.13636363636364', '1.25', '1.31578947368421', '2', '2.77777777777778', '5.88235294117647', '1.2987012987013']
['1.02040816326531', '1', '1.03092783505155', '0.909090909090909', '1', '0.628930817610063', '0.201207243460765']
['1.02040816326531', '1.08695652173913', '0.487804878048781', '0.555555555555556', '0.555555555555556', '0.591715976331361', '3.44827586206897']
['1.05263157894737', '0.75187969924812', '0.980392156862745', '0.578034682080925', '0.558659217877095', '0.308641975308642', '0.144717800289436']
['1.02040816326531', '0.934579439252336', '1.12359550561798', '1', '0.980392156862745', '0.380228136882129', '0.170648464163823']
['1.16279069767442', '1.13636363636364', '1.04166666666667', '0.909090909090909', '0.813008130081301', '0.353356890459364', '0.234192037470726']
['1.08695652173913', '1.11111111111111', '1.35135135135135', '0.925925925925926', '0.847457627118644', '0.34965034965035', '0.235849056603774']
['1.16279069767442', '1.31578947368421', '1.63934426229508', '1.0752688172043', '0.892857142857143', '0.40650406504065', '0.253164556962025']
['1.33333333333333', '1.36986301369863', '1.53846153846154', '1.06382978723404', '0.970873786407767', '0.469483568075117', '0.260416666666667']
['1.03092783505155', '0.952380952380952', '1.02040816326531', '1.02040816326531', '1.85185185185185', '5.55555555555556', '5']
['1.03092783505155', '1.06382978723404', '1.31578947368421', '1.16279069767442', '1.96078431372549', '1.85185185185185', '5.26315789473684']
['0.909090909090909', '0.952380952380952', '1.38888888888889', '1.5625', '1.2987012987013', '3.2258064516129', '7.14285714285714']
['1.17647058823529', '1.12359550561798', '1.2987012987013', '1.16279069767442', '1.19047619047619', '0.467289719626168', '0.280112044817927']
['0.740740740740741', '0.602409638554217', '0.961538461538461', '0.925925925925926', '0.892857142857143', '11.1111111111111', '6.25']
['1.03092783505155', '0.934579439252336', '1.12359550561798', '0.78740157480315', '0.769230769230769', '1.51515151515152', '5.26315789473684']
['0.862068965517241', '1.04166666666667', '0.87719298245614', '1.04166666666667', '1.35135135135135', '3.44827586206897', '4.16666666666667']
['1.19047619047619', '1.11111111111111', '1.31578947368421', '0.961538461538461', '0.892857142857143', '0.529100529100529', '0.22271714922049']
['1.11111111111111', '1.04166666666667', '1.16279069767442', '1.66666666666667', '1.96078431372549', '12.5', '7.69230769230769']
['1.12359550561798', '1.05263157894737', '1.40845070422535', '0.961538461538461', '0.769230769230769', '2.12765957446809', '4.34782608695652']
['1.14942528735632', '1.0752688172043', '1.04166666666667', '0.819672131147541', '0.826446280991736', '0.28328611898017', '0.163132137030995']
['1.20481927710843', '1.11111111111111', '1.36986301369863', '0.775193798449612', '0.819672131147541', '0.314465408805031', '0.182815356489945']
['0.91743119266055', '0.87719298245614', '0.813008130081301', '0.709219858156028', '0.641025641025641', '11.1111111111111', '7.14285714285714']
['0.78740157480315', '0.826446280991736', '0.769230769230769', '0.869565217391304', '0.75187969924812', '9.09090909090909', '5.55555555555556']
['0.813008130081301', '0.763358778625954', '1.35135135135135', '1.58730158730159', '2.63157894736842', '16.6666666666667', '5.55555555555556']
['1.12359550561798', '1.25', '1.0752688172043', '0.943396226415094', '0.884955752212389', '0.286532951289398', '0.138121546961326']
['0.735294117647059', '1.08695652173913', '1.5625', '2', '1.72413793103448', '7.69230769230769', '5.55555555555556']
['1.26582278481013', '1.16279069767442', '1.13636363636364', '0.884955752212389', '0.704225352112676', '0.337837837837838', '0.175131348511384']
['1.47058823529412', '1.31578947368421', '1.53846153846154', '1.01010101010101', '1.01010101010101', '0.469483568075117', '0.260416666666667']
